Game #,Start SR,End SR,SR Change,Team SR avg,Enemy SR avg,Team Stack,Enemy Stack,Role 1,Role 2,Result,Streak,Leaver?,Map,Match Time,Elim,Elim_career,Elim_medal,Obj_kills,Obj_kills_career,Obj_kills_medal,Obj_time,Obj_time_career,Obj_time_medal,Dmg,Dmg_career,Dmg_medal,Heal,Heal_career,Heal_medal,Death,Death_career
108,1806,1787,-19,1831,P,,,Support,,Loss,-1,No,Eichenwalde,15:08,24,21.8,Bronze,16,12.73,,01:49,01:32,,10615,5435,,9711,7844,,13,6.65
109,1787,1787,0,1836,1847,,,Offense,Support,Draw,0,No,Temple of Anubis,08:19,24,19.62,,16,11.34,,00:19,01:27,,5973,5246,,1958,6651,,6,6.97
110,1787,1812,25,1817,1818,,,Tank,,Win,1,No,Hanamura,10:42,16,19.59,None,4,11.27,None,00:39,01:27,Bronze,6959,5257,Silver,0,6594,None,5,6.95
111,1812,1841,29,1827,1839,,,Support,,Win,2,No,King's Row,11:29,22,21.89,None,16,12.85,Gold,01:39,01:32,None,5601,5448,None,10719,7851,Gold,8,6.64
112,1841,1866,25,1900,1891,4,3,Tank,Support,Win,3,No,Watchpoint: Gibraltar,05:53,16,19.62,None,13,11.35,Silver,00:35,01:27,None,2658,5251,None,2330,6608,Silver,5,6.96
113,1866,1901,35,1891,1896,1,1,Support,,Win,4,No,Oasis,09:35,31,22.04,Gold,24,13.02,Gold,02:34,01:33,Gold,6324,5460,Bronze,9635,7888,Gold,4,6.61
114,1901,1926,25,1946,1960,3,2,Tank,,Win,5,No,Temple of Anubis,,,,None,,,None,,,Silver,,,None,0,,None,,
115,1926,1958,32,1943,1949,1,1,Support,,Win,6,No,Hanamura,12:10,28,22.06,Gold,20,13.06,Gold,01:57,01:33,Gold,5871,5453,None,10761,7902,Gold,5,6.58
116,1958,1937,-21,1959,1952,2,1,Support,,Loss,-1,No,King's Row,17:21,26,19.63,None,17,11.48,Silver,03:19,01:28,Silver,9429,5254,None,14541,6606,Gold,11,6.92
117,1937,1968,31,1945,1960,3,2,Support,,Win,1,No,King's Row,10:54,30,22,Silver,20,13.06,Gold,01:54,01:33,Bronze,5678,5454,Bronze,8491,7909,Gold,5,6.55
